CODE_COMMUNE,CODE_EPCI
26147,242600534
26148,200040491
26149,200068781
26150,200068229
26152,242600534
26153,200068765
26154,200068765
26155,200040491
26156,200073096
26157,200040459
26159,242600534
26160,200040491
26161,200068229
26162,200040491
26163,200067767
26164,242600534
26165,242600252
26166,242600252
26167,242600534
26168,242600534
26169,200042901
26170,200068781
26171,200040459
26172,200040491
26173,200068781
26174,200073096
26175,242600534
26176,200040459
26177,200073096
26178,242600534
26179,200073096
26180,200068229
26181,200068229
26182,200068229
26183,200040509
26185,242600252
26186,242600534
26188,248400335
26189,200068229
26190,200068229
26191,200040459
26192,200040681
26193,200068229
26194,200073096
26195,242600252
26196,200068781
26197,200068781
26198,200040459
26199,200068229
26200,200071033
26201,200068229
26202,242600492
26203,200040681
26204,242600534
